ref_id,TC_1,TC_2,TC_3
CoV|QHW06048.4.BC1,18181,21685,22486
CoV|QHW06048.56.BC1,39176,32201,40596
CoV|QHW06048.57.BC1,15845,20678,19087
CoV|QHW06048.127.BC1,13661,12488,23769
CoV|QHW06048.128.BC1,3130,6015,5386
CoV|QHW06056.5.BC1,59505,68978,60395
CoV|QHW06056.6.BC1,46526,47755,48983
CoV|QHW06057.0.BC1,45198,50092,59561
CoV|QHW06059.0.BC1,27317,37676,35138
CoV|QHW06059.1.BC1,31863,22181,31262
CoV|QHW06058.20.BC1,23216,20316,30777
CoV|QHW06058.21.BC1,13163,17803,18222
CoV|QHZ00380.3.BC1,17063,14615,20067
CoV|QHZ00380.4.BC1,19942,17442,24893
CoV|QHZ00380.7.BC1,14073,22040,17118
CoV|QHZ00380.8.BC1,40436,27145,36262
CoV|QHZ00379.6.BC1,19543,13222,17507
CoV|QHZ00379.7.BC1,16907,17859,19949
CoV|QHZ00378.31.BC1,19970,12191,20060
CoV|QHZ00378.32.BC1,25535,24791,33812
CoV|QHZ00378.245.BC1,35875,33540,41181
CoV|QHZ00378.246.BC1,27706,17947,16796
CoV|QHZ00381.0.BC1,31847,37066,40964
CoV|QHZ00381.1.BC1,15799,22142,20396
CoV|QHZ00398.37.BC1,46948,46554,46528
CoV|QHZ00398.38.BC1,25957,31922,52449
CoV|QHZ00398.203.BC1,49877,48233,57996
CoV|QHZ00398.204.BC1,19854,28574,27936
CoV|QHU36823.95.BC1,28674,30907,32394
CoV|QHU36823.96.BC1,4555,5817,5463
CoV|QHU36823.102.BC1,25714,24830,29669
CoV|QHU36823.103.BC1,35658,34206,51553
CoV|QHU36843.79.BC1,18264,18206,22721
CoV|QHU36843.80.BC1,32132,30826,36389
CoV|QHR63276.0.BC1,57488,54199,77652
CoV|QHR63249.249.BC1,17809,11738,14880
CoV|QHR63249.250.BC1,12368,14206,17356
CoV|QHO60600.1.BC1,10111,6819,7439
CoV|QHO60600.2.BC1,13055,11488,13335
CoV|QHO60600.3.BC1,8159,3464,10028
CoV|QHQ71962.14.BC1,35812,38454,37900
CoV|QHQ71962.15.BC1,16829,15111,21064
CoV|QHQ71969.1.BC1,9520,6912,13876
CoV|QHQ71969.2.BC1,22633,19785,23731
CoV|QHN73809.109.BC1,37493,35267,37569
CoV|QHN73809.110.BC1,28894,26208,34902
CoV|QHU79172.156.BC1,56003,64885,54259
CoV|QHU79174.3.BC1,20219,17315,19720
CoV|QHU79174.4.BC1,7155,6443,9008
CoV|QHU79173.0.BC1,2130,2378,2950
CoV|QHR63269.79.BC1,18239,17678,23475
CoV|QHR63269.80.BC1,14416,19142,20586
CoV|QHR63269.247.BC1,15951,12508,17153
CoV|QHR63269.248.BC1,15150,21338,16684
CoV|QHU36863.89.BC1,27471,27919,26596
CoV|QHU36863.90.BC1,33539,35094,39056
CoV|QHR84449.7.BC1,29990,38467,52142
CoV|QHR84449.8.BC1,11680,13782,12473
CoV|QHZ87581.1.BC1,39481,37114,37478
CoV|QHZ87581.2.BC1,27045,33252,20118
CoV|QHZ87581.33.BC1,32995,28887,33814
CoV|QHZ87581.34.BC1,25226,29366,26737
CoV|QIA98605.108.BC1,26745,17706,24092
CoV|QIA98605.109.BC1,27699,32633,33793
CoV|QHQ71972.198.BC1,15814,20060,19278
CoV|QHQ71972.199.BC1,6392,7123,9395
CoV|QHR63289.91.BC1,11177,11925,11568
CoV|QHR63289.92.BC1,17194,19699,20056
CoV|QHR63289.109.BC1,59258,62418,77971
CoV|QHR63289.110.BC1,37058,42547,45689
CoV|BCA25653.40.BC1,13252,7942,14792
CoV|BCA25653.41.BC1,2132,8470,4439
CoV|BCA25643.133.BC1,28058,24537,32906
CoV|BCA25643.134.BC1,34513,40937,46955
CoV|BCA25651.11.BC1,3461,3207,6396
CoV|BCA25651.12.BC1,14380,19139,26848
CoV|QIC50514.6.BC1,42425,41563,51626
CoV|QIC50514.7.BC1,19572,23729,24208
CoV|QIC53203.28.BC1,37825,33781,31153
CoV|QIC53203.29.BC1,10041,10830,8175
CoV|QIC53203.153.BC1,37681,30750,46817
CoV|QIC53203.154.BC1,14408,18964,24944
CoV|QIC53204.27.BC1,18679,18972,19365
CoV|QIC53204.28.BC1,20214,20039,27254
CoV|QID98793.113.BC1,10681,13036,13893
CoV|QID98793.114.BC1,29877,35708,25410
CoV|QID21074.0.BC1,12574,18475,16990
CoV|QID21067.224.BC1,11812,8543,11120
CoV|QID21067.225.BC1,13807,19803,20856
CoV|YP_009725301.9.BC2,42605,35271,44333
CoV|YP_009725299.68.BC2,20243,21120,28678
CoV|YP_009725306.3.BC2,48728,55599,54487
CoV|YP_009725312.0.BC2,20132,26855,37251
CoV|YP_009725308.20.BC2,39886,36808,46109
CoV|YP_009725311.9.BC2,29932,33696,26189
CoV|YP_009725307.32.BC2,13953,12410,18399
CoV|YP_009725302.9.BC2,6922,10022,7026
CoV|YP_009725310.11.BC2,12866,21618,22311
CoV|YP_009725305.3.BC2,26327,34478,31581
CoV|YP_009725303.1.BC2,14431,14190,13280
CoV|YP_009725300.16.BC2,28916,30109,32963
CoV|YP_009725309.17.BC2,19803,19222,24958
CoV|YP_009725304.6.BC2,22569,24117,27915
CoV|YP_009725298.21.BC2,8755,15788,16873
CoV|YP_009725297.5.BC2,10461,12870,11253
CoV|P0DTD2.0.BC2,28653,37376,31642
CoV|P0DTD2.1.BC2,17040,14463,12897
CoV|P0DTD2.2.BC2,28257,26284,33295
CoV|P0DTD3.0.BC2,36172,27765,39007
CoV|P0DTD3.1.BC2,33590,31367,36799
CoV|QHR63260.0.BC2,34371,35345,43310
CoV|QHR63260.1.BC2,22593,12725,18239
